"X.1","X","MatchURL","League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Href","Player_Num","Nation","First_pos_fbref","Other_pos_fbref","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons","Competition_Name","Gender","Country","Tier","Season_End_Year","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Tkl.Int","Clr","Err","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","TotDist_Carries","PrgDist_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","X2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels","fotmob_position_short","fotmob_position","fotmob_rating","sofa_position","sofa_rating","ws_position","ws_rating"
30,30,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","benjamin pavard","/en/players/45a03961/Benjamin-Pavard",5,"FRA","RB",NA,"26-130",81,1,0,0,0,1,1,0,0,79,1,4,1,0.1,0.1,0,1,0,57,69,82.6,6,52,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,57,69,82.6,970,232,26,29,89.7,29,35,82.9,2,3,66.7,0,0,0,3,1,0,6,69,63,6,0,0,0,5,6,0,0,0,0,57,0,1,1,1,1,0,0,1,1,100,0,1,1,0,5,1,0,79,6,22,44,13,2,79,0,0,0,149,50,0,0,1,1,55,5,0,2,1,1,5,1,0,0,0,3,0,1,0,"RB","Defender",7.9,"D",7.6,"DR",7.98
31,31,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","noussair mazraoui","/en/players/b74277a0/Noussair-Mazraoui",40,"MAR","RB",NA,"24-264",9,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,8,8,100,1,8,0,1,0,"Fußball-Bundesliga","M","GER","1st",2023,8,8,100,110,15,3,3,100,4,4,100,0,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,2,0,10,0,0,0,20,7,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,"","Substitute",NA,"D",6.5,"Sub",6.1
32,32,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Fußball-Bundesliga","05/08/2022","Fußball-Bundesliga (Matchweek 1)","eintracht frankfurt","03/04/2003",1,0.9,"Randal Kolo Muani · 64&rsquor;",2,0,"bayern munich","04/04/2002",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;",0,0,"https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","bayern munich","Away","manuel neuer","/en/players/8778c910/Manuel-Neuer",1,"GER","GK",NA,"36-131",90,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,42,45,93.3,0,32,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,42,45,93.3,979,619,9,9,100,24,24,100,9,12,75,0,0,0,0,0,0,0,45,37,8,4,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47,38,46,1,0,0,47,0,0,0,136,109,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GK","Keeper",5.58,"G",5.9,"GK",5.47
33,33,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","lukas nmecha","/en/players/0cc5f4a5/Lukas-Nmecha",10,"GER","FW",NA,"23-235",90,1,0,0,0,2,1,1,0,37,0,1,0,0.3,0.3,0.1,5,1,20,26,76.9,2,21,2,5,4,"Fußball-Bundesliga","M","GER","1st",2023,20,26,76.9,287,55,9,12,75,6,6,100,2,2,100,0.1,0,1,3,1,0,2,26,25,1,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,22,16,2,37,80,1,20,228,39,1,0,6,0,32,9,0,1,1,1,0,0,0,0,0,3,0,2,0,"ST","Attacker",8.04,"F",7.4,"FW",7.59
34,34,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","omar marmoush","/en/players/0e0102eb/Omar-Marmoush",33,"EGY","LW",NA,"23-180",66,0,0,0,0,1,0,0,0,39,1,1,1,0.1,0.1,0,2,0,16,28,57.1,3,23,2,8,3,"Fußball-Bundesliga","M","GER","1st",2023,16,28,57.1,217,66,9,16,56.3,3,3,100,2,4,50,0,0,0,2,0,0,3,28,27,0,0,0,1,1,0,0,0,0,0,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0,5,14,20,3,39,37.5,3,37.5,184,108,2,1,2,0,26,6,0,2,4,0,1,0,0,0,0,6,2,5,28.6,"LW","Midfielder",6.78,"F",6.3,"AML",6.61
35,35,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","luca waldschmidt","/en/players/e5a35ae9/Luca-Waldschmidt",7,"GER","LW",NA,"26-079",24,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,8,8,100,1,5,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,8,8,100,78,27,4,4,100,2,2,100,0,0,0,0,0,0,1,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,13,0,1,7,5,2,13,0,0,0,22,11,0,0,1,0,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"","Substitute",6.06,"M",6.5,"Sub",6.3
36,36,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","patrick wimmer","/en/players/cb11b429/Patrick-Wimmer",39,"AUT","RW",NA,"21-068",66,0,1,0,0,1,0,0,0,46,2,1,1,0,0,0.3,3,2,24,34,70.6,4,24,1,4,3,"Fußball-Bundesliga","M","GER","1st",2023,24,34,70.6,356,136,12,13,92.3,8,12,66.7,2,2,100,0.3,0.4,1,3,2,1,4,34,32,2,0,1,0,3,2,0,0,0,0,24,0,4,2,2,0,0,2,0,2,0,2,1,0,1,3,0,0,46,0,1,21,24,1,46,75,1,25,128,49,0,0,3,3,32,5,0,2,0,0,3,2,0,0,0,2,0,1,0,"RW","Midfielder",7.37,"M",7,"AMR",7.26
37,37,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","jakub kaminski","/en/players/202b3b68/Jakub-Kaminski",16,"POL","RW","RB","20-062",24,0,0,0,0,2,1,0,0,26,1,0,0,0.2,0.2,0,0,0,11,21,52.4,1,14,1,0,0,"Fußball-Bundesliga","M","GER","1st",2023,11,21,52.4,128,31,7,10,70,3,6,50,0,2,0,0,0,0,0,0,0,1,21,17,4,0,0,0,1,4,0,0,0,0,11,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,26,0,1,17,8,2,26,0,0,0,118,73,1,0,1,0,19,4,0,0,1,0,1,1,0,0,0,2,0,1,0,"","Substitute",6.54,"M",6.4,"Sub",6.19
38,38,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","josip brekalo","/en/players/d4a2533d/Josip-Brekalo",14,"CRO","AM",NA,"24-044",55,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,30,40,75,3,25,1,1,1,"Fußball-Bundesliga","M","GER","1st",2023,30,40,75,361,74,18,19,94.7,10,13,76.9,0,1,0,0,0,0,3,0,0,3,40,35,5,1,0,0,1,1,0,0,0,0,30,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,41,0,6,24,11,1,41,100,0,0,173,54,1,1,0,1,35,5,0,1,1,0,1,0,0,0,0,5,0,1,0,"AM","Midfielder",6.4,"M",6.3,"AMC",6.05
39,39,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","jonas wind","/en/players/2077ae86/Jonas-Wind",23,"DEN","AM","RW","23-180",35,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13,18,72.2,2,10,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,13,18,72.2,136,42,11,13,84.6,1,2,50,0,0,0,0,0,0,3,0,0,2,18,17,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,0,1,13,6,3,20,0,0,0,45,5,0,0,1,1,17,2,0,0,2,0,0,0,0,0,0,2,2,0,100,"","Substitute",6.38,"F",6.6,"Sub",6.25
40,40,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","maximilian arnold","/en/players/86e119e0/Maximilian-Arnold",27,"GER","DM",NA,"28-071",90,0,0,0,0,1,0,0,0,77,4,1,1,0,0,0.3,4,0,45,66,68.2,7,35,2,2,2,"Fußball-Bundesliga","M","GER","1st",2023,45,66,68.2,971,477,18,24,75,17,20,85,10,21,47.6,0.3,0.6,2,6,3,0,7,66,56,10,8,3,1,9,1,1,1,0,0,45,0,0,4,1,1,1,2,2,2,100,0,1,0,1,5,2,0,77,4,14,43,23,0,77,100,0,0,250,132,1,0,1,0,44,1,0,1,2,0,9,1,0,0,0,12,0,1,0,"DM","Midfielder",7.87,"M",8.2,"DMC",7.53
41,41,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","mattias svanberg","/en/players/92d83c27/Mattias-Svanberg",32,"SWE","DM",NA,"23-213",45,0,0,0,0,0,0,0,0,25,1,1,2,0,0,0,0,0,8,16,50,2,12,1,1,1,"Fußball-Bundesliga","M","GER","1st",2023,8,16,50,130,61,3,6,50,3,5,60,1,2,50,0,0,0,0,0,0,2,16,16,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,0,0,0,2,0,2,2,1,0,25,1,8,12,5,0,25,100,0,0,54,42,1,0,3,2,14,0,0,0,1,0,0,1,0,0,0,2,1,2,33.3,"DM","Midfielder",6.02,"M",6.4,"DMC",6.1
42,42,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","josuha guilavogui","/en/players/e6c43eec/Josuha-Guilavogui",29,"FRA","DM",NA,"31-321",45,1,0,0,0,1,1,0,0,31,0,1,1,0.1,0.1,0,1,0,22,26,84.6,3,13,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,22,26,84.6,430,195,9,10,90,6,8,75,6,7,85.7,0,0,1,2,0,0,3,26,25,1,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,31,0,7,20,4,1,31,0,0,0,40,13,0,0,0,1,18,2,0,2,0,0,0,0,0,0,0,4,2,2,50,"","Substitute",7.34,"D",7.2,"Sub",7.34
43,43,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","micky van de ven","/en/players/8fe2a392/Micky-van-de-Ven",5,"NED","LB",NA,"21-109",90,0,0,0,0,0,0,1,0,92,3,1,1,0,0,0,1,0,71,84,84.5,4,44,5,3,3,"Fußball-Bundesliga","M","GER","1st",2023,71,84,84.5,1122,417,35,39,89.7,28,29,96.6,4,10,40,0,0.1,0,6,1,0,4,84,67,17,4,0,0,0,13,0,0,0,0,71,0,0,3,3,1,2,0,1,2,50,1,1,1,0,4,0,0,92,2,37,48,8,0,92,100,0,0,277,185,2,0,0,0,57,0,0,1,1,0,0,3,0,0,0,4,1,1,50,"LB","Defender",7.08,"D",6.8,"DL",6.94
44,44,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","maxence lacroix","/en/players/277c49ed/Maxence-Lacroix",4,"FRA","CB",NA,"22-122",90,0,0,0,0,0,0,0,0,74,0,1,3,0,0,0,0,0,52,60,86.7,3,44,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,52,60,86.7,997,444,19,21,90.5,28,31,90.3,5,7,71.4,0,0,0,2,0,0,3,60,59,1,1,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,2,0,2,3,1,2,1,4,0,74,6,42,34,0,0,74,0,0,0,259,111,0,0,1,1,45,0,0,0,1,0,0,0,0,0,0,7,3,2,60,"CB","Defender",6.28,"D",6.6,"DC",6.37
45,45,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","sebastiaan bornauw","/en/players/01834aa0/Sebastiaan-Bornauw",3,"BEL","CB",NA,"23-137",90,0,0,0,0,0,0,0,0,73,2,1,1,0,0,0,0,0,51,63,81,8,37,0,1,0,"Fußball-Bundesliga","M","GER","1st",2023,51,63,81,976,442,15,18,83.3,30,35,85.7,5,8,62.5,0,0,0,3,0,0,8,63,62,1,0,0,0,0,1,0,0,0,0,51,0,1,2,2,2,0,0,1,1,100,0,1,0,1,3,3,0,73,9,27,44,2,0,73,0,1,100,127,59,0,0,0,0,45,0,0,0,0,0,0,2,0,0,0,9,2,1,66.7,"CB","Defender",7.06,"D",6.7,"DC",6.54
46,46,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","ridle baku","/en/players/442b56fa/Ridle-Baku",20,"GER","RB",NA,"24-120",75,0,0,0,0,3,0,0,0,76,1,0,0,0.1,0.1,0,3,0,59,69,85.5,1,39,1,0,0,"Fußball-Bundesliga","M","GER","1st",2023,59,69,85.5,1057,347,24,28,85.7,27,29,93.1,6,8,75,0,0.1,1,3,0,0,1,69,56,13,0,0,0,0,13,0,0,0,0,59,0,0,1,1,1,0,0,1,4,25,3,0,0,0,1,1,0,76,1,15,35,27,1,76,0,0,0,216,100,0,0,0,0,51,5,0,0,0,0,0,1,0,0,0,3,0,0,0,"RB","Defender",6.22,"M",6.1,"DR",5.93
47,47,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","max kruse","/en/players/f9446dcd/Max-Kruse",9,"GER","RB","AM","34-140",15,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,8,10,80,0,8,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,8,10,80,146,18,2,3,66.7,4,4,100,1,1,100,0,0.1,1,0,1,1,0,10,9,1,0,0,0,1,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,1,4,6,1,11,0,0,0,22,3,0,0,0,1,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Substitute",6.01,"F",6.8,"Sub",6.32
48,48,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","wolfsburg","Home","koen casteels","/en/players/db401046/Koen-Casteels",1,"BEL","GK",NA,"30-042",90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,27,35,77.1,0,23,0,0,0,"Fußball-Bundesliga","M","GER","1st",2023,27,35,77.1,648,449,6,6,100,12,12,100,9,17,52.9,0,0,0,0,0,0,0,35,28,7,3,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,29,36,0,0,0,36,0,0,0,125,70,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,"GK","Keeper",6.29,"G",6.3,"GK",6.02
49,49,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","Fußball-Bundesliga","06/08/2022","Fußball-Bundesliga (Matchweek 1)","wolfsburg","4-2-3-1",2,1,"Lukas Nmecha · 11&rsquor; Josuha Guilavogui · 84&rsquor;",2,0,"werder bremen","03/05/2002",2,0.8,"Niclas Füllkrug · 21&rsquor; Leonardo Bittencourt · 23&rsquor;",2,0,"https://fbref.com/en/matches/1591be13/Wolfsburg-Werder-Bremen-August-6-2022-Bundesliga","werder bremen","Away","marvin ducksch","/en/players/638a4d71/Marvin-Ducksch",7,"GER","FW",NA,"28-152",90,0,1,0,0,2,1,0,0,45,0,1,0,0.1,0.1,0.5,6,1,24,36,66.7,2,29,3,3,2,"Fußball-Bundesliga","M","GER","1st",2023,24,36,66.7,425,117,12,15,80,6,9,66.7,4,7,57.1,0.5,0.9,4,2,1,0,2,36,30,6,2,3,1,3,0,1,0,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,45,1,2,19,24,5,45,66.7,1,33.3,130,65,4,2,2,0,29,12,0,0,1,0,3,0,0,0,0,5,1,2,33.3,"CF","Attacker",8.29,"F",7.9,"FW",8.04
